size,cycles,type,dpu
256,67392,enc,11
256,66688,dec,11
256,67424,enc,12
256,66784,dec,12
256,67488,enc,13
256,66704,dec,13
256,67424,enc,14
256,66768,dec,14
256,67440,enc,15
256,66768,dec,15
256,67424,enc,16
256,66768,dec,16
256,67392,enc,17
256,66688,dec,17
256,67424,enc,18
256,66768,dec,18
256,67424,enc,19
256,66784,dec,19
256,67424,enc,20
256,66768,dec,20
256,67440,enc,21
256,66768,dec,21
256,67424,enc,22
256,66784,dec,22
256,67440,enc,23
256,66784,dec,23
256,67424,enc,24
256,66784,dec,24
256,67392,enc,25
256,66688,dec,25
256,67392,enc,26
256,66688,dec,26
256,67456,enc,27
256,66768,dec,27
256,67424,enc,28
256,66768,dec,28
256,67440,enc,29
256,66768,dec,29
256,67392,enc,30
256,66688,dec,30
256,67424,enc,31
256,66784,dec,31
256,67424,enc,32
256,66768,dec,32
256,67392,enc,33
256,66688,dec,33
256,67424,enc,34
256,66784,dec,34
256,67488,enc,35
256,66704,dec,35
256,67440,enc,36
256,66784,dec,36
256,67392,enc,37
256,66688,dec,37
256,67424,enc,38
256,66768,dec,38
256,67392,enc,39
256,66688,dec,39
256,67440,enc,40
256,66784,dec,40
256,67392,enc,41
256,66688,dec,41
256,67424,enc,42
256,66768,dec,42
256,67440,enc,43
256,66768,dec,43
256,67392,enc,44
256,66688,dec,44
256,67392,enc,45
256,66688,dec,45
256,67424,enc,46
256,66784,dec,46
256,67440,enc,47
256,66784,dec,47
256,67392,enc,48
256,66688,dec,48
256,67440,enc,49
256,66768,dec,49
256,67392,enc,50
256,66688,dec,50
256,67424,enc,51
256,66768,dec,51
256,67392,enc,52
256,66688,dec,52
256,67424,enc,53
256,66784,dec,53
256,67440,enc,54
256,66784,dec,54
256,67424,enc,55
256,66784,dec,55
256,67392,enc,56
256,66688,dec,56
256,67424,enc,57
256,66784,dec,57
256,67440,enc,58
256,66768,dec,58
256,67424,enc,59
256,66768,dec,59
256,67440,enc,60
256,66768,dec,60
256,67392,enc,61
256,66688,dec,61
256,67424,enc,62
256,66784,dec,62
256,67440,enc,63
256,66784,dec,63
512,133408,enc,0
512,132736,dec,0
512,133408,enc,1
512,132752,dec,1
512,133408,enc,2
512,132736,dec,2
512,133408,enc,3
512,132736,dec,3
512,133408,enc,4
512,132736,dec,4
512,133408,enc,5
512,132736,dec,5
