size,cycles,type,dpu
256,38480,enc,11
256,45840,dec,11
256,38288,enc,12
256,46080,dec,12
256,38560,enc,13
256,45872,dec,13
256,40000,enc,14
256,45408,dec,14
256,38224,enc,15
256,43744,dec,15
256,38304,enc,16
256,46352,dec,16
256,39712,enc,17
256,46192,dec,17
256,38416,enc,18
256,46256,dec,18
256,39168,enc,19
256,44720,dec,19
256,39360,enc,20
256,43872,dec,20
256,39248,enc,21
256,43856,dec,21
256,38544,enc,22
256,46256,dec,22
256,39712,enc,23
256,45904,dec,23
256,39504,enc,24
256,46112,dec,24
256,38400,enc,25
256,44336,dec,25
256,39488,enc,26
256,46400,dec,26
256,38896,enc,27
256,46352,dec,27
256,39312,enc,28
256,46496,dec,28
256,39840,enc,29
256,43968,dec,29
256,38320,enc,30
256,44176,dec,30
256,39168,enc,31
256,44720,dec,31
256,38816,enc,32
256,44064,dec,32
256,39360,enc,33
256,43440,dec,33
256,38544,enc,34
256,46464,dec,34
256,39824,enc,35
256,43488,dec,35
256,39104,enc,36
256,45776,dec,36
256,38288,enc,37
256,46912,dec,37
256,37824,enc,38
256,44192,dec,38
256,38352,enc,39
256,45776,dec,39
256,39072,enc,40
256,44080,dec,40
256,40208,enc,41
256,43552,dec,41
256,39952,enc,42
256,46256,dec,42
256,37840,enc,43
256,43536,dec,43
256,37968,enc,44
256,46272,dec,44
256,37984,enc,45
256,44064,dec,45
256,37840,enc,46
256,45600,dec,46
256,39184,enc,47
256,45040,dec,47
256,38880,enc,48
256,43920,dec,48
256,38144,enc,49
256,43456,dec,49
256,39360,enc,50
256,46448,dec,50
256,38592,enc,51
256,46048,dec,51
256,38736,enc,52
256,46128,dec,52
256,39168,enc,53
256,44720,dec,53
256,39296,enc,54
256,45808,dec,54
256,39680,enc,55
256,45680,dec,55
256,40400,enc,56
256,46320,dec,56
256,38176,enc,57
256,45968,dec,57
256,38352,enc,58
256,44464,dec,58
256,38880,enc,59
256,46112,dec,59
256,37776,enc,60
256,43872,dec,60
256,38480,enc,61
256,46064,dec,61
256,38112,enc,62
256,43856,dec,62
256,38704,enc,63
256,46752,dec,63
512,39200,enc,0
512,44192,dec,0
512,38480,enc,1
512,45392,dec,1
512,39120,enc,2
512,46320,dec,2
512,38176,enc,3
512,45888,dec,3
512,38304,enc,4
512,43696,dec,4
512,39504,enc,5
512,46128,dec,5
512,38496,enc,6
512,45776,dec,6
512,38112,enc,7
512,46624,dec,7
512,39328,enc,8
512,45552,dec,8
512,39728,enc,9
512,44848,dec,9
512,38864,enc,10
512,43808,dec,10
512,38544,enc,11
512,46336,dec,11
512,40096,enc,12
512,43968,dec,12
512,38384,enc,13
512,44192,dec,13
512,37696,enc,14
512,45744,dec,14
512,38480,enc,15
512,45696,dec,15
512,39504,enc,16
512,43376,dec,16
512,38368,enc,17
512,46336,dec,17
512,38592,enc,18
512,43984,dec,18
512,39792,enc,19
512,46608,dec,19
512,39936,enc,20
512,45776,dec,20
512,40064,enc,21
512,43632,dec,21
512,39664,enc,22
512,43456,dec,22
512,38736,enc,23
512,43696,dec,23
512,37952,enc,24
512,43744,dec,24
512,38320,enc,25
512,46592,dec,25
512,39776,enc,26
512,44032,dec,26
512,38448,enc,27
512,43760,dec,27
512,39360,enc,28
512,43456,dec,28
512,37600,enc,29
512,46720,dec,29
512,40016,enc,30
512,45568,dec,30
512,39792,enc,31
512,46608,dec,31
512,39936,enc,32
512,43760,dec,32
512,39424,enc,33
512,43968,dec,33
512,39376,enc,34
512,44032,dec,34
512,38656,enc,35
512,46416,dec,35
512,39984,enc,36
512,43456,dec,36
512,39840,enc,37
512,43728,dec,37
512,39376,enc,38
512,43424,dec,38
512,40016,enc,39
512,43408,dec,39
512,39888,enc,40
512,45856,dec,40
512,39824,enc,41
512,45168,dec,41
512,38288,enc,42
512,46192,dec,42
512,39136,enc,43
512,43616,dec,43
512,40000,enc,44
512,44240,dec,44
512,38896,enc,45
512,46240,dec,45
512,39856,enc,46
512,43712,dec,46
512,38720,enc,47
512,44064,dec,47
512,39664,enc,48
512,46064,dec,48
512,38176,enc,49
512,46064,dec,49
512,39520,enc,50
512,46112,dec,50
512,38400,enc,51
512,43696,dec,51
512,39872,enc,52
512,44160,dec,52
512,39792,enc,53
512,46352,dec,53
512,38496,enc,54
512,44864,dec,54
512,40176,enc,55
512,46480,dec,55
512,40208,enc,56
512,46192,dec,56
512,39296,enc,57
512,45968,dec,57
512,38720,enc,58
512,46288,dec,58
512,37968,enc,59
512,44400,dec,59
512,38400,enc,60
512,44880,dec,60
512,39376,enc,61
512,43920,dec,61
512,40080,enc,62
512,43712,dec,62
512,38224,enc,63
512,45712,dec,63
1024,38016,enc,0
1024,46592,dec,0
1024,39488,enc,1
1024,43872,dec,1
1024,38208,enc,2
1024,46112,dec,2
1024,38368,enc,3
1024,44176,dec,3
1024,38336,enc,4
1024,45984,dec,4
1024,39936,enc,5
1024,46672,dec,5
1024,39504,enc,6
1024,46816,dec,6
1024,38208,enc,7
1024,46416,dec,7
1024,37968,enc,8
1024,43648,dec,8
1024,39584,enc,9
1024,45168,dec,9
1024,37984,enc,10
1024,46544,dec,10
1024,39488,enc,11
1024,46016,dec,11
1024,38464,enc,12
1024,46272,dec,12
1024,37936,enc,13
1024,45568,dec,13
1024,39648,enc,14
1024,46192,dec,14
1024,38320,enc,15
1024,46112,dec,15
1024,37696,enc,16
1024,44256,dec,16
1024,39792,enc,17
1024,46640,dec,17
1024,39792,enc,18
1024,45872,dec,18
1024,39376,enc,19
1024,45968,dec,19
1024,40176,enc,20
1024,43456,dec,20
1024,38336,enc,21
1024,44000,dec,21
1024,38208,enc,22
1024,43712,dec,22
1024,38864,enc,23
1024,43824,dec,23
1024,38176,enc,24
1024,46352,dec,24
1024,37968,enc,25
1024,46784,dec,25
1024,39584,enc,26
1024,45648,dec,26
1024,38352,enc,27
1024,46848,dec,27
1024,39408,enc,28
1024,46080,dec,28
1024,38464,enc,29
1024,46064,dec,29
1024,39392,enc,30
1024,46592,dec,30
1024,39376,enc,31
1024,45968,dec,31
1024,39936,enc,32
1024,43680,dec,32
1024,38096,enc,33
1024,46064,dec,33
1024,38480,enc,34
1024,43472,dec,34
1024,38560,enc,35
1024,46800,dec,35
